a_code,h_code,name,segment,status,title,announcement_date,announcement_id,source_url,pdf_url,local_path,note
002594,01211,比亚迪,乘用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
601633,02333,长城汽车,乘用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
601238,02238,广汽集团,乘用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
000625,,长安汽车,乘用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
600104,,上汽集团,乘用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
601127,,赛力斯,乘用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600418,,江淮汽车,乘用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600733,,北汽蓝谷,乘用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
000572,,海马汽车,乘用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
000980,,众泰汽车,乘用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
000550,,江铃汽车,商用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
000800,,一汽解放,商用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
000951,03808,中国重汽,商用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600006,,东风汽车,商用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600066,,宇通客车,商用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600166,,福田汽车,商用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600375,,汉马科技,商用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
600686,,金龙汽车,商用车,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
000868,,安凯客车,商用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
000957,,中通客车,商用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
301039,01839,中集车辆,商用车,missing,,,,,,,CNINFO未检索到2026Q1一季报
000338,02338,潍柴动力,动力总成,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600660,03606,福耀玻璃,汽车玻璃,missing,,,,,,,CNINFO未检索到2026Q1一季报
600741,,华域汽车,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
600699,,均胜电子,汽车电子,missing,,,,,,,CNINFO未检索到2026Q1一季报
000581,,威孚高科,动力总成,missing,,,,,,,CNINFO未检索到2026Q1一季报
000887,,中鼎股份,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
000559,,万向钱潮,汽车零部件,missing,,,,,,,CNINFO未检索到2026Q1一季报
002048,,宁波华翔,汽车零部件,missing,,,,,,,CNINFO未检索到2026Q1一季报
002050,,三花智控,热管理,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
002126,,银轮股份,热管理,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
002284,,亚太股份,制动系统,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
002406,,远东传动,汽车零部件,missing,,,,,,,CNINFO未检索到2026Q1一季报
002472,,双环传动,传动系统,missing,,,,,,,CNINFO未检索到2026Q1一季报
002536,,飞龙股份,热管理,missing,,,,,,,CNINFO未检索到2026Q1一季报
002590,,万安科技,制动系统,missing,,,,,,,CNINFO未检索到2026Q1一季报
002662,,京威股份,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
002906,,华阳集团,汽车电子,missing,,,,,,,CNINFO未检索到2026Q1一季报
002920,,德赛西威,智能座舱/智驾,missing,,,,,,,CNINFO未检索到2026Q1一季报
300100,,双林股份,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
300258,,精锻科技,传动系统,missing,,,,,,,CNINFO未检索到2026Q1一季报
300304,,云意电气,汽车电子,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
300432,,富临精工,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
300580,,贝斯特,汽车零部件,missing,,,,,,,CNINFO未检索到2026Q1一季报
300680,,隆盛科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
301181,,标榜股份,热管理,missing,,,,,,,CNINFO未检索到2026Q1一季报
301215,,中汽股份,汽车服务,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
601689,,拓普集团,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603009,,北特科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603035,,常熟汽饰,内外饰,missing,,,,,,,CNINFO未检索到2026Q1一季报
603089,,正裕工业,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603179,,新泉股份,内外饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603197,,保隆科技,汽车电子,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603305,,旭升集团,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603306,,华懋科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603319,,湘油泵,动力总成,missing,,,,,,,CNINFO未检索到2026Q1一季报
603358,,华达科技,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603596,,伯特利,制动系统,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603730,,岱美股份,内外饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
603786,,科博达,汽车电子,missing,,,,,,,CNINFO未检索到2026Q1一季报
603997,,继峰股份,座椅/内饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
605128,,上海沿浦,座椅/内饰,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
605133,,嵘泰股份,汽车零部件,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
605333,,沪光股份,线束,missing,,,,,,,CNINFO未检索到2026Q1一季报
688533,,上声电子,汽车电子,error,,,,,,,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))"
