a_code,h_code,name,segment,status,title,announcement_date,sina_detail_url,pdf_url,pdf_path,html_path,txt_path,note
002594,01211,比亚迪,乘用车,downloaded,比亚迪：2026年一季度报告,2026-04-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12252088&stockid=002594,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12252088.PDF,2026Q1季报原文\整车公司_Sina原文\002594_比亚迪_比亚迪：2026年一季度报告_2026-04-29.pdf,2026Q1季报原文\整车公司_Sina原文\002594_比亚迪_比亚迪：2026年一季度报告_2026-04-29.html,2026Q1季报原文\整车公司_Sina原文\002594_比亚迪_比亚迪：2026年一季度报告_2026-04-29.txt,
601633,02333,长城汽车,乘用车,downloaded,长城汽车：2026年第一季度报告,2026-04-25,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12181979&stockid=601633,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-25/12181979.PDF,2026Q1季报原文\整车公司_Sina原文\601633_长城汽车_长城汽车：2026年第一季度报告_2026-04-25.pdf,2026Q1季报原文\整车公司_Sina原文\601633_长城汽车_长城汽车：2026年第一季度报告_2026-04-25.html,2026Q1季报原文\整车公司_Sina原文\601633_长城汽车_长城汽车：2026年第一季度报告_2026-04-25.txt,
601238,02238,广汽集团,乘用车,downloaded,广汽集团：2026年第一季度报告,2026-04-30,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12284232&stockid=601238,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-30/12284232.PDF,2026Q1季报原文\整车公司_Sina原文\601238_广汽集团_广汽集团：2026年第一季度报告_2026-04-30.pdf,2026Q1季报原文\整车公司_Sina原文\601238_广汽集团_广汽集团：2026年第一季度报告_2026-04-30.html,2026Q1季报原文\整车公司_Sina原文\601238_广汽集团_广汽集团：2026年第一季度报告_2026-04-30.txt,
000625,,长安汽车,乘用车,downloaded,长安汽车：2026年一季度报告,2026-04-28,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12216780&stockid=000625,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-28/12216780.PDF,2026Q1季报原文\整车公司_Sina原文\000625_长安汽车_长安汽车：2026年一季度报告_2026-04-28.pdf,2026Q1季报原文\整车公司_Sina原文\000625_长安汽车_长安汽车：2026年一季度报告_2026-04-28.html,2026Q1季报原文\整车公司_Sina原文\000625_长安汽车_长安汽车：2026年一季度报告_2026-04-28.txt,
600104,,上汽集团,乘用车,downloaded,上汽集团：2026年第一季度报告,2026-04-30,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12277704&stockid=600104,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-30/12277704.PDF,2026Q1季报原文\整车公司_Sina原文\600104_上汽集团_上汽集团：2026年第一季度报告_2026-04-30.pdf,2026Q1季报原文\整车公司_Sina原文\600104_上汽集团_上汽集团：2026年第一季度报告_2026-04-30.html,2026Q1季报原文\整车公司_Sina原文\600104_上汽集团_上汽集团：2026年第一季度报告_2026-04-30.txt,
601127,,赛力斯,乘用车,downloaded,赛力斯：2026年第一季度报告,2026-04-30,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12284229&stockid=601127,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-30/12284229.PDF,2026Q1季报原文\整车公司_Sina原文\601127_赛力斯_赛力斯：2026年第一季度报告_2026-04-30.pdf,2026Q1季报原文\整车公司_Sina原文\601127_赛力斯_赛力斯：2026年第一季度报告_2026-04-30.html,2026Q1季报原文\整车公司_Sina原文\601127_赛力斯_赛力斯：2026年第一季度报告_2026-04-30.txt,
600418,,江淮汽车,乘用车,downloaded,江淮汽车：2026年第一季度报告,2026-04-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12263537&stockid=600418,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-29/12263537.PDF,2026Q1季报原文\整车公司_Sina原文\600418_江淮汽车_江淮汽车：2026年第一季度报告_2026-04-29.pdf,2026Q1季报原文\整车公司_Sina原文\600418_江淮汽车_江淮汽车：2026年第一季度报告_2026-04-29.html,2026Q1季报原文\整车公司_Sina原文\600418_江淮汽车_江淮汽车：2026年第一季度报告_2026-04-29.txt,
600733,,北汽蓝谷,乘用车,downloaded,北汽蓝谷：2026年第一季度报告,2026-04-24,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12163388&stockid=600733,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-24/12163388.PDF,2026Q1季报原文\整车公司_Sina原文\600733_北汽蓝谷_北汽蓝谷：2026年第一季度报告_2026-04-24.pdf,2026Q1季报原文\整车公司_Sina原文\600733_北汽蓝谷_北汽蓝谷：2026年第一季度报告_2026-04-24.html,2026Q1季报原文\整车公司_Sina原文\600733_北汽蓝谷_北汽蓝谷：2026年第一季度报告_2026-04-24.txt,
000572,,海马汽车,乘用车,downloaded,海马汽车：2026年一季度报告,2026-04-27,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12201589&stockid=000572,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-27/12201589.PDF,2026Q1季报原文\整车公司_Sina原文\000572_海马汽车_海马汽车：2026年一季度报告_2026-04-27.pdf,2026Q1季报原文\整车公司_Sina原文\000572_海马汽车_海马汽车：2026年一季度报告_2026-04-27.html,2026Q1季报原文\整车公司_Sina原文\000572_海马汽车_海马汽车：2026年一季度报告_2026-04-27.txt,
000980,,众泰汽车,乘用车,downloaded,众泰汽车：2026年一季度报告,2026-04-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12271315&stockid=000980,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12271315.PDF,2026Q1季报原文\整车公司_Sina原文\000980_众泰汽车_众泰汽车：2026年一季度报告_2026-04-29.pdf,2026Q1季报原文\整车公司_Sina原文\000980_众泰汽车_众泰汽车：2026年一季度报告_2026-04-29.html,2026Q1季报原文\整车公司_Sina原文\000980_众泰汽车_众泰汽车：2026年一季度报告_2026-04-29.txt,
000550,,江铃汽车,商用车,downloaded,江铃B：2026年一季度报告(英文版),2026-04-25,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12181539&stockid=000550,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-25/12181539.PDF,2026Q1季报原文\整车公司_Sina原文\000550_江铃汽车_江铃B：2026年一季度报告(英文版)_2026-04-25.pdf,2026Q1季报原文\整车公司_Sina原文\000550_江铃汽车_江铃B：2026年一季度报告(英文版)_2026-04-25.html,2026Q1季报原文\整车公司_Sina原文\000550_江铃汽车_江铃B：2026年一季度报告(英文版)_2026-04-25.txt,
000800,,一汽解放,商用车,downloaded,一汽解放：2026年一季度报告,2026-04-30,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12275084&stockid=000800,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-30/12275084.PDF,2026Q1季报原文\整车公司_Sina原文\000800_一汽解放_一汽解放：2026年一季度报告_2026-04-30.pdf,2026Q1季报原文\整车公司_Sina原文\000800_一汽解放_一汽解放：2026年一季度报告_2026-04-30.html,2026Q1季报原文\整车公司_Sina原文\000800_一汽解放_一汽解放：2026年一季度报告_2026-04-30.txt,
000951,03808,中国重汽,商用车,downloaded,中国重汽：2026年一季度报告,2026-04-30,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12276903&stockid=000951,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-30/12276903.PDF,2026Q1季报原文\整车公司_Sina原文\000951_中国重汽_中国重汽：2026年一季度报告_2026-04-30.pdf,2026Q1季报原文\整车公司_Sina原文\000951_中国重汽_中国重汽：2026年一季度报告_2026-04-30.html,2026Q1季报原文\整车公司_Sina原文\000951_中国重汽_中国重汽：2026年一季度报告_2026-04-30.txt,
600006,,东风汽车,商用车,downloaded,东风股份：2026年第一季度报告,2026-04-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12251971&stockid=600006,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-29/12251971.PDF,2026Q1季报原文\整车公司_Sina原文\600006_东风汽车_东风股份：2026年第一季度报告_2026-04-29.pdf,2026Q1季报原文\整车公司_Sina原文\600006_东风汽车_东风股份：2026年第一季度报告_2026-04-29.html,2026Q1季报原文\整车公司_Sina原文\600006_东风汽车_东风股份：2026年第一季度报告_2026-04-29.txt,
600066,,宇通客车,商用车,downloaded,宇通客车：2026年第一季度报告,2026-04-28,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12215507&stockid=600066,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-28/12215507.PDF,2026Q1季报原文\整车公司_Sina原文\600066_宇通客车_宇通客车：2026年第一季度报告_2026-04-28.pdf,2026Q1季报原文\整车公司_Sina原文\600066_宇通客车_宇通客车：2026年第一季度报告_2026-04-28.html,2026Q1季报原文\整车公司_Sina原文\600066_宇通客车_宇通客车：2026年第一季度报告_2026-04-28.txt,
600166,,福田汽车,商用车,downloaded,福田汽车：2026年第一季度报告(修订版),2026-05-01,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12293540&stockid=600166,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-5/2026-05-01/12293540.PDF,2026Q1季报原文\整车公司_Sina原文\600166_福田汽车_福田汽车：2026年第一季度报告(修订版)_2026-05-01.pdf,2026Q1季报原文\整车公司_Sina原文\600166_福田汽车_福田汽车：2026年第一季度报告(修订版)_2026-05-01.html,2026Q1季报原文\整车公司_Sina原文\600166_福田汽车_福田汽车：2026年第一季度报告(修订版)_2026-05-01.txt,
600375,,汉马科技,商用车,downloaded,汉马科技：2026年第一季度报告,2026-04-28,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12207869&stockid=600375,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-28/12207869.PDF,2026Q1季报原文\整车公司_Sina原文\600375_汉马科技_汉马科技：2026年第一季度报告_2026-04-28.pdf,2026Q1季报原文\整车公司_Sina原文\600375_汉马科技_汉马科技：2026年第一季度报告_2026-04-28.html,2026Q1季报原文\整车公司_Sina原文\600375_汉马科技_汉马科技：2026年第一季度报告_2026-04-28.txt,
600686,,金龙汽车,商用车,downloaded,金龙汽车：2026年第一季度报告,2026-04-29,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12244529&stockid=600686,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-29/12244529.PDF,2026Q1季报原文\整车公司_Sina原文\600686_金龙汽车_金龙汽车：2026年第一季度报告_2026-04-29.pdf,2026Q1季报原文\整车公司_Sina原文\600686_金龙汽车_金龙汽车：2026年第一季度报告_2026-04-29.html,2026Q1季报原文\整车公司_Sina原文\600686_金龙汽车_金龙汽车：2026年第一季度报告_2026-04-29.txt,
000868,,安凯客车,商用车,downloaded,安凯客车：2026年一季度报告,2026-04-28,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12214589&stockid=000868,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-28/12214589.PDF,2026Q1季报原文\整车公司_Sina原文\000868_安凯客车_安凯客车：2026年一季度报告_2026-04-28.pdf,2026Q1季报原文\整车公司_Sina原文\000868_安凯客车_安凯客车：2026年一季度报告_2026-04-28.html,2026Q1季报原文\整车公司_Sina原文\000868_安凯客车_安凯客车：2026年一季度报告_2026-04-28.txt,
000957,,中通客车,商用车,downloaded,中通客车：2026年一季度报告,2026-04-25,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12189989&stockid=000957,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-25/12189989.PDF,2026Q1季报原文\整车公司_Sina原文\000957_中通客车_中通客车：2026年一季度报告_2026-04-25.pdf,2026Q1季报原文\整车公司_Sina原文\000957_中通客车_中通客车：2026年一季度报告_2026-04-25.html,2026Q1季报原文\整车公司_Sina原文\000957_中通客车_中通客车：2026年一季度报告_2026-04-25.txt,
301039,01839,中集车辆,商用车,downloaded,中集车辆：关于2026年一季度利润分配预案的公告,2026-04-25,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12193239&stockid=301039,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-25/12193239.PDF,2026Q1季报原文\整车公司_Sina原文\301039_中集车辆_中集车辆：关于2026年一季度利润分配预案的公告_2026-04-25.pdf,2026Q1季报原文\整车公司_Sina原文\301039_中集车辆_中集车辆：关于2026年一季度利润分配预案的公告_2026-04-25.html,2026Q1季报原文\整车公司_Sina原文\301039_中集车辆_中集车辆：关于2026年一季度利润分配预案的公告_2026-04-25.txt,
